iteration,alg_id,alg_name,jobs_done,jobs_total,elapsed,delta
1,1,B-all,36753,583247,14,3
1,1,B-all,46753,583247,18,4
1,1,B-all,56753,583247,22,4
1,1,B-all,66753,583247,26,4
1,1,B-all,76753,583247,30,3
1,1,B-all,86753,583247,34,3
1,1,B-all,96753,583247,38,4
1,1,B-all,106753,583247,42,3
1,1,B-all,116753,583247,46,3
1,1,B-all,126753,583247,50,3
1,1,B-all,136753,583247,54,3
1,1,B-all,146753,583247,58,3
1,1,B-all,156753,583247,62,4
1,1,B-all,166753,583247,66,4
1,1,B-all,176753,583247,70,3
1,1,B-all,186753,583247,74,3
1,1,B-all,196753,583247,78,4
1,1,B-all,206753,583247,82,4
1,1,B-all,216753,583247,86,3
1,1,B-all,226753,583247,90,3
1,1,B-all,236753,583247,94,3
1,1,B-all,246753,583247,98,3
1,1,B-all,256753,583247,102,3
1,1,B-all,266753,583247,106,3
1,1,B-all,276753,583247,110,3
1,1,B-all,286753,583247,113,3
1,1,B-all,296753,583247,117,3
1,1,B-all,306753,583247,121,3
1,1,B-all,316753,583247,125,3
1,1,B-all,326753,583247,129,3
1,1,B-all,336753,583247,133,3
1,1,B-all,346753,583247,137,3
1,1,B-all,356753,583247,141,4
1,1,B-all,366753,583247,145,4
1,1,B-all,376753,583247,149,4
1,1,B-all,386753,583247,153,4
1,1,B-all,396753,583247,158,4
1,1,B-all,406753,583247,162,4
1,1,B-all,416753,583247,166,4
1,1,B-all,426753,583247,170,4
1,1,B-all,436753,583247,174,4
1,1,B-all,446753,583247,178,4
1,1,B-all,456753,583247,182,3
1,1,B-all,466753,583247,193,11
1,1,B-all,476753,583247,197,3
1,1,B-all,486753,583247,201,3
1,1,B-all,496753,583247,204,3
1,1,B-all,506753,583247,208,3
1,1,B-all,516753,583247,212,3
1,1,B-all,526753,583247,215,3
1,1,B-all,536753,583247,219,3
1,1,B-all,546753,583247,223,3
1,1,B-all,556753,583247,227,4
1,1,B-all,566753,583247,231,3
1,1,B-all,576753,583247,234,3
2,1,B-all,3506,583247,1,1
2,1,B-all,13506,583247,5,3
2,1,B-all,23506,583247,9,3
2,1,B-all,33506,583247,12,3
2,1,B-all,43506,583247,16,3
2,1,B-all,53506,583247,20,3
2,1,B-all,63506,583247,24,3
2,1,B-all,73506,583247,27,3
2,1,B-all,83506,583247,31,3
2,1,B-all,93506,583247,35,3
2,1,B-all,103506,583247,39,3
2,1,B-all,113506,583247,42,3
2,1,B-all,123506,583247,46,3
2,1,B-all,133506,583247,50,3
2,1,B-all,143506,583247,53,3
2,1,B-all,153506,583247,57,3
2,1,B-all,163506,583247,61,3
2,1,B-all,173506,583247,65,3
2,1,B-all,183506,583247,69,3
2,1,B-all,193506,583247,72,3
2,1,B-all,203506,583247,76,3
2,1,B-all,213506,583247,80,3
2,1,B-all,223506,583247,84,3
2,1,B-all,233506,583247,87,3
2,1,B-all,243506,583247,91,3
2,1,B-all,253506,583247,95,3
2,1,B-all,263506,583247,99,3
2,1,B-all,273506,583247,103,4
2,1,B-all,283506,583247,107,4
2,1,B-all,293506,583247,111,4
2,1,B-all,303506,583247,116,4
2,1,B-all,313506,583247,120,4
2,1,B-all,323506,583247,124,3
2,1,B-all,333506,583247,127,3
2,1,B-all,343506,583247,131,3
2,1,B-all,353506,583247,135,3
2,1,B-all,363506,583247,138,3
2,1,B-all,373506,583247,142,3
2,1,B-all,383506,583247,146,3
2,1,B-all,393506,583247,149,3
2,1,B-all,403506,583247,153,3
2,1,B-all,413506,583247,157,3
2,1,B-all,423506,583247,160,3
2,1,B-all,433506,583247,164,3
2,1,B-all,443506,583247,168,3
2,1,B-all,453506,583247,171,3
2,1,B-all,463506,583247,175,3
2,1,B-all,473506,583247,179,3
2,1,B-all,483506,583247,182,3
2,1,B-all,493506,583247,186,3
2,1,B-all,503506,583247,190,3
2,1,B-all,513506,583247,194,3
2,1,B-all,523506,583247,197,3
2,1,B-all,533506,583247,201,3
2,1,B-all,543506,583247,205,3
2,1,B-all,553506,583247,209,3
2,1,B-all,563506,583247,213,3
2,1,B-all,573506,583247,216,3
3,1,B-all,259,583247,0,0
